;barcode;mms id
0;UM520060;990057361860205510
1;UM584586;990057375240205510
2;UM1013270;990055477840205510
3;UM1009709;990063876120205510
4;EM000007691886;990101668250205510
5;UM1008155;990057623240205510
6;UM1014526;990057590390205510
7;UM514610;990058185850205510
8;UM579757;990057730080205510
9;UM586802;990057620430205510
10;UM1012501;990066856190205510
11;UM1015338;990100397730205510
12;UM630380;990057620350205510
13;UM585257;990057590300205510
14;UM634413;990057387360205510
15;UM584106;990057677910205510
16;UM633520;990057622360205510
17;EM000007829638;990102585830205510
18;UM520306;990002475980205510
19;UM520307;990002475970205510
20;UM520308;990002334380205510
21;UM520309;990002334510205510
22;UM520310;990008636570205510
23;UM520311;990008636580205510
24;UM520312;990008636590205510
25;UM520313;990008636600205510
26;UM520314;990008636610205510
27;UM520315;990006806800205510
28;UM579855;990008755300205510
29;UM579856;990003470270205510
30;UM579854;990008755310205510
31;UM579853;990008755320205510
32;UM579852;990008755330205510
33;UM579851;990008755340205510
34;UM579860;990008755350205510
35;UM579859;990008755360205510
36;UM579858;990008755370205510
37;UM579857;990003275570205510
38;EM000005531837;990043221520205510
39;UM637342;990057391680205510
40;UM1009600;990061448460205510
41;UM1014333;990068776490205510
42;UM1010167;990061853850205510
43;UM1009591;990064483850205510
44;UM1006309;990059304300205510
45;UM1006980;990059304300205510
46;UM634393;990057387260205510
47;EM000006372251;990051411020205510
48;EM000005532846;990053280250205510
49;UM579329;990046468790205510
50;UM634247;990055513240205510
51;UM1008301;990058392450205510
52;EM000008201443;990100831640205510
53;UM1008150;990054210730205510
54;UM1015043;990065672860205510
55;EM000008202010;990102065170205510
56;UM519743;990012143820205510
57;UM524031;990057359980205510
58;UM517945;990012631350205510
59;EM000008201032;990101725890205510
60;UM522088;990057374160205510
61;UM518288;990057340470205510
62;EM000008201089;990104295180205510
63;UM522096;990057344000205510
64;UM517876;990057368110205510
65;UM517940;990057374320205510
66;UM1006103;990060508300205510
67;UM1012438;990066159170205510
68;UM1012015;990064139620205510
69;UM1015501;990101139100205510
70;EM000006373382;990055867410205510
71;UM1014032;990057495850205510
72;UM1012514;990061793750205510
73;UM1012515;990057508080205510
74;UM1012658;990069948840205510
75;UM1012447;990061793620205510
76;UM1012446;990016934980205510
77;UM1012445;990016935050205510
78;UM1012560;990016935160205510
79;UM1013072;990016935700205510
80;UM1012516;990057500500205510
81;UM1012518;990016936040205510
82;UM1012519;990067112490205510
83;UM1012520;990016936210205510
84;UM1012521;990004149930205510
85;UM1012522;990004149930205510
86;UM1012523;990004149930205510
87;UM1012525;990013785450205510
88;UM1012563;990006684130205510
89;UM1012561;990004598780205510
90;UM1012526;990016936780205510
91;UM1012524;990067112880205510
92;UM1012527;990011614250205510
93;UM1012517;990067092300205510
94;UM1012562;990006684130205510
95;UM633400;990052081910205510
96;UM1015180;990076353250205510
97;UM1008216;990051671520205510
98;UM520541;990049698680205510
99;EM000006518333;990056753800205510
100;UM630367;990051802870205510
101;UM1006869;990061908330205510
102;UM520661;990057328630205510
103;EM000007691020;'bib_data'
104;UM1009300;'bib_data'
105;UM1005497;'bib_data'
106;UM1014441;'bib_data'
107;UM519340;'bib_data'
108;UM521495;'bib_data'
109;UM517566;'bib_data'
110;UM1011476;990100518650205510
111;UM1006868;'bib_data'
112;UM1004976;'bib_data'
113;UM514553;'bib_data'
114;UM521496;'bib_data'
115;UM521494;'bib_data'
116;UM1005377;990056877380205510
117;UM1005390;990050773610205510
118;UM1005370;990054174660205510
119;UM1005375;990057391530205510
120;UM1005381;990051671190205510
121;UM518010;'bib_data'
122;UM637264;990054344160205510
123;UM522134;990057368940205510
124;UM517252;'bib_data'
125;UM632750;'bib_data'
126;UM1005482;'bib_data'
127;UM518035;'bib_data'
128;UM519174;'bib_data'
129;UM522177;'bib_data'
130;EM000006373980;'bib_data'
131;EM000006373927;'bib_data'
132;UM579288;'bib_data'
133;UM519819;'bib_data'
134;UM527749;'bib_data'
135;UM1009360;990063615410205510
136;UM1009359;990063615410205510
137;UM518134;'bib_data'
138;UM582273;'bib_data'
139;UM518361;'bib_data'
140;UM1005503;'bib_data'
141;UM578468;'bib_data'
142;UM1005502;'bib_data'
143;UM1005621;990057923270205510
144;UM516573;'bib_data'
145;UM522939;'bib_data'
146;UM516574;'bib_data'
147;UM518216;'bib_data'
148;UM518206;'bib_data'
149;UM1011307;'bib_data'
150;UM522990;990038456140205510
151;UM1005393;990057391500205510
152;UM1012710;'bib_data'
153;UM513341;'bib_data'
154;EM000006373261;'bib_data'
155;UM1011220;'bib_data'
156;UM1009783;'bib_data'
157;UM518049;'bib_data'
158;UM1008873;990054157870205510
159;UM1011355;990099945790205510
160;EM000006372571;'bib_data'
161;UM522890;'bib_data'
162;EM000006344940;'bib_data'
163;UM526856;'bib_data'
164;UM585235;'bib_data'
165;EM000006373090;'bib_data'
166;UM526860;'bib_data'
167;EM000006373344;'bib_data'
168;UM1009233;990062381800205510
169;UM518351;'bib_data'
170;UM522933;'bib_data'
171;UM517280;'bib_data'
172;EM000006373297;'bib_data'
173;EM000006372707;'bib_data'
174;UM518438;'bib_data'
175;UM1005499;'bib_data'
176;UM1003693;'bib_data'
177;UM513215;'bib_data'
178;UM524037;'bib_data'
179;UM522427;'bib_data'
180;EM000006332578;990011379570205510
181;UM633958;990044711010205510
182;UM633738;990057385860205510
183;UM633961;990043561380205510
184;EM000006518020;990056337620205510
185;UM633739;990057385850205510
186;EM000006518915;990017301020205510
187;UM513173;990018900310205510
188;UM523541;990006971020205510
189;UM514863;990020854730205510
190;UM518413;990012670780205510
191;UM527042;990017826280205510
192;UM517826;990044569150205510
193;UM518420;990006874550205510
194;UM518679;990005834830205510
195;UM1015145;990099583120205510
196;UM1014134;990066947130205510
197;UM518473;990006961310205510
198;UM637262;990057037760205510
199;UM513592;990045560970205510
200;UM514555;990006916670205510
201;UM1015344;990100933560205510
202;EM000006373446;990005756670205510
203;UM633731;990052203280205510
204;UM518387;990002048180205510
205;UM1015606;990103527440205510
206;UM1012040;990064450180205510
207;UM1005815;990058324080205510
208;UM633723;990052211470205510
209;UM637263;990056532040205510
210;UM521098;990044795450205510
211;UM518440;990005280930205510
212;UM1012999;990071784170205510
213;UM518451;990015795620205510
214;UM519273;990013199260205510
215;UM1015065;990097549540205510
216;UM1009625;990062257880205510
217;UM513221;990038141090205510
218;UM520600;990014725490205510
219;UM518608;990015260780205510
220;UM1005372;990054041060205510
221;UM518494;990020224560205510
222;UM578966;990043539290205510
223;UM1005366;990057391440205510
224;UM582703;990044649970205510
225;UM1005388;990057391400205510
226;UM519882;990020260140205510
227;UM518372;990010726160205510
228;UM518444;990011886280205510
229;UM633734;990057385920205510
230;UM1007407;990062792030205510
231;UM519447;990017113770205510
232;UM524759;990016772150205510
233;UM516044;990045083410205510
234;UM519262;990043412960205510
235;UM513291;990038122550205510
236;UM518391;990017395870205510
237;UM520040;990044403140205510
238;UM513220;990038169080205510
239;UM519047;990040058430205510
240;UM518976;990057345500205510
241;UM519652;990016819490205510
242;UM518928;990016209500205510
243;UM1005620;990057923580205510
244;UM518666;990018155820205510
245;UM519119;990038628250205510
246;UM519120;990020728920205510
247;UM633732;990053129410205510
248;UM519123;990038684120205510
249;UM518907;990044481750205510
250;UM1015622;990103642610205510
251;UM519521;990013752750205510
252;UM1008127;990058175630205510
253;UM518680;990005245000205510
254;UM1011215;990099080180205510
255;UM1011118;990076350390205510
256;UM519546;990042362000205510
257;UM518675;990055582660205510
258;UM518737;990056571100205510
259;UM1006999;990062678340205510
260;UM518500;990041989760205510
261;UM582334;990005261890205510
262;EM000008203306;990111788600205510
263;UM633610;990057385510205510
264;EM000008204927;990115636810205510
265;EM000008204200;990110877410205510
266;UM518710;990057335650205510
267;UM514908;990049246710205510
268;UM523529;990041420140205510
269;UM632752;990048292070205510
270;UM628240;990050640770205510
271;UM1014746;990075527650205510
272;UM1015337;990100913790205510
273;EM000008204328;990113116430205510
274;UM628241;990057335590205510
275;EM000008201963;990107119400205510
276;EM000008203218;990111602940205510
277;UM1010633;990097545630205510
278;UM633621;990044483100205510
279;UM514650;990060383980205510
280;UM519118;990060383870205510
281;UM518550;990020740970205510
282;UM1009784;990065933440205510
283;UM584019;990043723620205510
284;UM1011214;990099079930205510
285;UM578960;990040706390205510
286;UM1010301;990072876920205510
287;UM519077;990042999980205510
288;UM578965;990044624260205510
289;UM1007165;990059233840205510
290;UM1012724;990073048810205510
291;UM1015362;990100470730205510
292;UM633727;990057385890205510
293;UM633733;990053477100205510
294;UM1005376;990052750900205510
295;UM518888;990009435500205510
296;UM518950;990057333690205510
