signatur;adm;hicr;strichcode;inventarnummer;exemplar-id;bestands-id;mms-id
c10001;002694801;;em000006516443;;2318375830005510;2218375840005510;990022558800205510
c10002;002694800;;;;;;
c10003/1;002694798;;;;;;
c10004;000100136;;04300003064053;6925406;2318285530005510;2218285540005510;990001001360205510
c10013/1;000932649;;04300003064054;6925446;2316873760005510;2216873770005510;990009326500205510
c10014;000676773;;04300003072965;6841122;2316267110005510;2216267160005510;990006767730205510
c10018;000653894;;04300003064058;6925608;2316220140005510;2216220150005510;990006538940205510
c10019;000653911;;04300003064056;6925601;2316259410005510;2216259420005510;990006539110205510
c10023;000156461;;04300003064061;6925626;2318536620005510;2218536630005510;990001564610205510
c10024;000557508;;04300003064062;6925632;2317547840005510;2217547850005510;990005575080205510
c12021;000712054;;;;;;
c12021:2;000712056;;04300003064113;6933521;2318495020005510;2218495050005510;990007120560205510
c12021:29;000712083;;04300003064118;6927893;2318338190005510;2218338210005510;990007120830205510
c12021:3;000712057;;04300003064114;6933526;2318385170005510;2218385180005510;990007120570205510
c12021:30;000712084;;04300003064119;6927899;2318346020005510;2218346030005510;990007120840205510
c12021:100;000440992;;04300003064188;6929212;2319296310005510;2219296320005510;990004409920205510
c12021:102;000259669;;04300003064192;6929252;2318474330005510;2218474340005510;990002596690205510
c12021:103;000262706;;04300003064193;6929257;2318472430005510;2218472440005510;990002627060205510
c12021:104;000262470;;04300003064194;6929259;2318483870005510;2218483880005510;990002624700205510
c12021:105;000442379;;04300003064195;6929262;2319158930005510;2219158940005510;990004423790205510
c12021:106;000442376;;04300003064196;6929268;2319254820005510;2219254830005510;990004423760205510
c12021:108;000267295;;04300003064197;6929278;2318528550005510;2218528560005510;990002672950205510
c12021:109;000326378;;04300003064198;6929284;2318434360005510;2218434370005510;990003263780205510
c12021:110;000286488;;04300003064199;6929287;2318532930005510;2218532950005510;990002864880205510
c12021:111;000284087;;04300003064200;6929290;2318452980005510;2218452990005510;990002840870205510
c12021:112;000286477;;04300003064201;6929321;2318497150005510;2218497160005510;990002864770205510
c12021:114;000286485;;04300003064204;6929346;2318557730005510;2218557740005510;990002864850205510
c12021:116/117;000317817;;04300003064205;6929356;2318404180005510;2218404190005510;990003178170205510
c12021:118;000300113;;04300003064207;6929374;2318586620005510;2218586630005510;990003001130205510
c12021:119;000322151;;04300003064208;6929378;2318443870005510;2218443880005510;990003221510205510
c12021:120;000296936;;04300003064209;6929386;2318453610005510;2218453640005510;990002969360205510
c12021:122;000455263;;04300003064206;6929365;2319227350005510;2219227360005510;990004552630205510
c12021:123;000309951;;04300003064210;6929392;2318452220005510;2218452230005510;990003099510205510
c12021:124;000314176;;04300003064211;6929397;2318513110005510;2218513130005510;990003141760205510
c12021:125;000318748;;04300003064212;6929404;2318493420005510;2218493440005510;990003187480205510
c12021:126;000326796;;04300003064213;6929408;2318571990005510;2218572000005510;990003267960205510
c12021:127;000347688;;04300003064214;6929412;2318492920005510;2218492940005510;990003476880205510
c12021:129;000334708;;04300003064218;6929461;2318439900005510;2218439990005510;990003347080205510
c12021:130;000371400;;04300003064219;6929464;2318402820005510;2218402850005510;990003714000205510
c12021:131;000401509;;04300003064220;6929469;2319198050005510;2219198060005510;990004015090205510
c12021:134;000596373;;04300003064222;6929500;2317545850005510;2217545860005510;990005963730205510
c12021:137;000378593;;04300003064224;6929514;2319203990005510;2219204030005510;990003785930205510
c12021:138;000378075;;04300003064225;6929517;2319242650005510;2219242660005510;990003780750205510
c12021:139;000383240;;04300003064226;6929521;2319234950005510;2219234960005510;990003832400205510
c12021:140;000388604;;04300003064227;6929531;2319249910005510;2219249980005510;990003886040205510
c12021:141;001058362;;04300003064228;6929535;2315641680005510;2215641710005510;990010583620205510
c12021:146;000510855;;04300003064238;6929642;2319110630005510;2219110640005510;990005108550205510
c12021:149;000485656;;04300003064239;6929658;2319234740005510;2219234750005510;990004856560205510
c12021:150;000510859;;04300003064240;6929665;2319273710005510;2219273720005510;990005108590205510
c12021:154;000547484;;04300003064243;6929692;2317537440005510;2217537450005510;990005474840205510
c12021:157;000557693;;04300003064248;6929723;2317504780005510;2217504790005510;990005576930205510
c12021:160;001210313;;04300003064249;6929728;2316487330005510;2216487340005510;990012103130205510
c12021:161;000619400;;04300003064250;6929733;2316246550005510;2216246560005510;990006194000205510
c12021:33;000712087;;04300003064122;6927904;2318371880005510;2218371890005510;990007120870205510
c12021:34;000712088;;04300003064123;6927906;2318397060005510;2218397070005510;990007120880205510
c12021:36;000651533;;04300003064125;6927992;2316266270005510;2216266280005510;990006515330205510
c12021:37;000712090;;04300003064126;6927995;2318469240005510;2218469250005510;990007120900205510
c12021:38;000712091;;04300003064127;6927999;2318349570005510;2218349580005510;990007120910205510
c12021:39;000712092;;04300003064128;6928003;2318409400005510;2218409410005510;990007120920205510
c12021:40;000712093;;04300003064129;6928006;2318338640005510;2218338650005510;990007120930205510
c12021:41;000712094;;04300003064131;6928083;2318438290005510;2218438340005510;990007120940205510
c12021:42;000712094;;;;;;
c12021:43;000712096;;04300003064132;6928130;2318340500005510;2218340510005510;990007120960205510
c12021:44;000712097;;04300003064133;6928134;2318353300005510;2218353310005510;990007120970205510
c12021:45;000233046;;04300003064134;6928144;2318614640005510;2218614650005510;990002330460205510
c12021:46;000712098;;04300003064135;6928147;2318402910005510;2218402920005510;990007120980205510
c12021:47;000712099;;04300003064137;6928156;2318336500005510;2218336520005510;990007120990205510
c12021:48;000712099;;;;;;
c12021:49;000712101;;04300003064138;6928158;2318398650005510;2218398660005510;990007121010205510
c12021:5;004448732;;04300003064261;6930568;2315404100005510;2215404110005510;990044487320205510
c12021:5/1;004448732;;;;;;
c12021:50;000712102;;04300003064140;6928172;2318419010005510;2218419030005510;990007121020205510
c12021:51;000712102;;;;;;
c12021:52;000712104;;04300003064141;6928179;2318467190005510;2218467200005510;990007121040205510
c12021:53;000712105;;04300003064142;6928183;2318402070005510;2218402080005510;990007121050205510
c12021:57;000427885;;04300003064148;6928265;2319231140005510;2219231150005510;990004278850205510
c12021:58;000430709;;04300003064149;6928268;2319161500005510;2219161510005510;990004307090205510
c12021:59;000073128;;04300003064150;6928273;2318307340005510;2218307350005510;990000731280205510
c12021:6;004672429;;04300003064262;6930767;2316623800005510;2216623810005510;990046724290205510
c12021:6/1;004672429;;;;;;
c12021:60;000416251;;04300003064151;6928279;2319123690005510;2219123700005510;990004162510205510
c12021:61;000085401;;04300003064152;6928287;2318239160005510;2218239170005510;990000854010205510
c12021:62;000077889;;04300003064153;6928290;2318216900005510;2218216910005510;990000778890205510
c12021:63;000082105;;04300003064154;6928293;2318306860005510;2218306870005510;990000821050205510
c12021:67;000095321;;04300003064157;6928433;2318225960005510;2218225970005510;990000953210205510
c12021:68;000421471;;04300003064158;6928437;2319225240005510;2219225250005510;990004214710205510
c12021:7;004446599;;04300003064263;6933742;2315547240005510;2215547280005510;990044465990205510
c12021:7/1;004446599;;;;;;
c12021:70;000150291;;04300003064159;6928446;2318525360005510;2218525370005510;990001502910205510
c12021:71;000425838;;04300003064160;6928450;2319299320005510;2219299330005510;990004258380205510
c12021:72;000312187;;04300003064161;6928458;2318563560005510;2218563570005510;990003121870205510
c12021:73;000422772;;04300003064162;6928461;2319144630005510;2219144640005510;990004227720205510
c12021:74;000131076;;04300003064163;6928466;2318596090005510;2218596120005510;990001310760205510
c12021:75;000425340;;04300003064164;6928473;2319273850005510;2219273860005510;990004253400205510
c12021:76;000143741;;04300003064165;6928478;2318615810005510;2218615820005510;990001437410205510
c12021:77;000426505;;04300003064166;6928482;2319134620005510;2219134630005510;990004265050205510
c12021:78;000427346;;04300003064167;6928485;2319118500005510;2219118520005510;990004273460205510
c12021:80;000163503;;04300003064168;6928505;2318519100005510;2218519130005510;990001635030205510
c12021:81;000596371;;04300003064169;6928511;2317521820005510;2217521830005510;990005963710205510
c12021:82;000429156;;04300003064170;6928513;2319162660005510;2219162670005510;990004291560205510
c12021:83;000429365;;04300003064171;6928516;2319229670005510;2219229740005510;990004293650205510
c12021:84;000430306;;04300003064172;6928518;2319132060005510;2219132070005510;990004303060205510
c12021:85;000430308;;04300003064174;6928525;2319115250005510;2219115260005510;990004303080205510
c12021:86;000430547;;04300003064173;6928522;2319258490005510;2219258500005510;990004305470205510
c12021:87;000183101;;04300003064175;6928528;2318506910005510;2218506920005510;990001831010205510
c12021:88;000186548;;04300003064176;6928531;2318503230005510;2218503250005510;990001865480205510
c12021:91;000211360;;04300003064180;6928554;2318498530005510;2218498540005510;990002113600205510
c12021:92;000434302;;04300003064181;6928555;2319180760005510;2219180790005510;990004343020205510
c12021:93;000435532;;04300003064182;6928557;2319181260005510;2219181270005510;990004355320205510
c12021:95;000435978;;04300003064183;6928559;2319136700005510;2219136710005510;990004359780205510
c12021:96;000435984;;04300003064184;6928562;2319188100005510;2219188120005510;990004359840205510
c12021:97;000438663;;04300003064185;6928564;2319222730005510;2219222740005510;990004386630205510
c12021:99;000245337;;04300003064187;6928575;2318611370005510;2218611380005510;990002453370205510
c12022;002694914;;em000006516442;;2318895920005510;2218895930005510;990045994180205510
c15001;000322437;;04300003064252;6929929;2318507810005510;2218507820005510;990003224370205510
c15002;001937739;;em000005162747;;2316153430005510;2216153440005510;990019377390205510
c15005:ed.7;001765221;;04300003443565;7086904;2316949350005510;2216949360005510;990017652210205510
c15008b/1;000298547;;04300003064258;6930000;2318488200005510;2218488210005510;990002985470205510
c15008b/2;000295891;;04300003064257;6929990;2318588610005510;2218588620005510;990002958910205510
c15008b/3;000298549;;04300003064259;6930002;2318509690005510;2218509700005510;990002985490205510
c15011/77;001615463;;;;;;
c15011:1;005016380;;;;;;
c15011:73(1992-1993);000665008;;;;;;
c15011:73(1992-1993);000665008;;;;;;
c15011:76(1995-1996);001468357;;;;;;
c15011:79(1998-1999);001927294;h;;;;;
c15022:1;004024778;h;;;;;
c15022:2;004024778;h;;;;;
c15022:3;004024778;h;;;;;
c15022:4;004024778;h;;;;;
c15022:5;004024778;h;;;;;
c15022:6;004024778;h;;;;;
c15022:suppl.1;004024778;h;;;;;
c15022:suppl.2;004024778;h;;;;;
c15022:suppl.3;004024778;h;;;;;
c15023:1998/1;002796177;;;;;;
c15025;001845811;;;;;;
c15025:2;001845811;;;;;;
c15025:20;005030443;;;;;;
c15025:20ex.a;005030443;;;;;;
c15025:21;005030560;;;;;;
c15025:24;005003762;;;;;;
c15025:24ex.a;005003762;;;;;;
c15025:3;001845811;;;;;;
c15025:4;001845811;;;;;;
c15025:5;001845811;;;;;;
c15025:6;001845811;;;;;;
c15025:7;001845811;;;;;;
c15025:8;001845811;;;;;;
c15025:9;001845811;;;;;;
c15025cd12/2005;001845811;;;;;;
c15025cd2005;001845811;;;;;;
c15028;000052296;h;;;;;
c15028;000052296;h;;;;;
c15028;000052296;h;;;;;
c15028;000052296;h;;;;;
c15028;000052296;h;;;;;
c15028;000052296;h;;;;;
c15028:9.suppl.9.1;000052296;h;;;;;
c15028:9.suppl.9.2;000052296;h;;;;;
c15028:9.suppl.9.3;000052296;h;;;;;
c15028:9.suppl.9.4;000052296;h;;;;;
c15036;000664085;;;;;;
c15036:ed.3;002085310;;04300003068106;;2318466010005510;2218466020005510;990020853100205510
c15038;000230833;;;;;;
c15050;000008107;;;;;;
c15051;000008107;;;;;;
c15060:ed.3;001811518;h;;;;;
c15060:ed.3/suppl.1998;001962163;h;;;;;
c15060:ed.3;002093630;h;;;;;
c15075;000540495;;04300003049230;6229435;2317531980005510;2217531990005510;990005404950205510
c15076;000637295;;04300003049231;6229446;2316245780005510;2216245790005510;990006372950205510
c15081/01;002689620;h;;;;;
c15083a/1;001410189;h;;;;;
c15084;000931847;h;;;;;
c15085:ed.2;001877620;h;;;;;
c15088;001636934;h;;;;;
c15094/1.1;000589158;h;;;;;
c15094/1.2;000589158;h;;;;;
c15094a/1;000588713;h;;;;;
c15094a/2.1.1;000588732;h;;;;;
c15094a/2.1.2;000588741;h;;;;;
c15094a/2.2.1;000650733;h;;;;;
c15094a/2.2.2;000650738;h;;;;;
c15094a/3;000588718;h;;;;;
c15098;000143315;;04300003064035;6925109;2318510090005510;2218510100005510;990001433150205510
c15200;000150478;h;04300003064030;6924347;2318613490005510;2218613500005510;990001504780205510
c15201:3;000685861;h;04300003064031;6924357;2318333530005510;2218333540005510;990006858610205510
c15203:1;001368997;h;;;;;
c15203:2;001368999;h;;;;;
c15203:3;001369002;h;;;;;
c15203:4;001369022;h;;;;;
c15203:5;001369027;h;;;;;
c15203:6;001369028;h;;;;;
c15203:7;001369031;h;;;;;
c15203:8;001369034;h;;;;;
c15204:17;000257070;h;;;;;
c15204:25;000588148;h;;;;;
c15205:1990;000917864;;;;;;
c15206:1;004956266;h;;;;;
c15206:10;004956266;h;;;;;
c15206:2;004956266;h;;;;;
c15206:3;004956266;h;;;;;
c15206:4;004956266;h;;;;;
c15206:5;004956266;h;;;;;
c15206:6;004956266;h;;;;;
c15206:7;004956266;h;;;;;
c15206:8;004956266;h;;;;;
c15206:9;004956266;h;;;;;
c155.01.;000625248;hw;;;;;
c15501/1;000625248;hw;;;;;
c15501/2;000625260;hw;;;;;
c15502;000625232;hw;;;;;
c15503/1;000625268;hw;;;;;
c15503/2;000625272;hw;;;;;
c15504/1.1;000625289;hw;;;;;
c15504/1.2;000625294;hw;;;;;
c15504/2;000625381;hw;;;;;
c15504/3;000182140;hw;;;;;
c15504/4;000359421;hw;;;;;
c15505/1.1;000625479;hw;;;;;
c15505/1.2;000209787;hw;;;;;
c15505/1.3;000625484;hw;;;;;
c15505/1.4;000223157;hw;;;;;
c15505/2.1;000181070;hw;;;;;
c15505/2.2;000244685;hw;;;;;
c15505/2.3;000625499;hw;;;;;
c15505/3;000625493;hw;;;;;
c15505/4;000625496;hw;;;;;
c15506/1.4;000181066;hw;;;;;
c15506/2;000625714;hw;;;;;
c15506/3;000625748;hw;;;;;
c15506/4;000625749;hw;;;;;
c15507/1;000625765;hw;;;;;
c15507/2.3;000625807;hw;;;;;
c15507/3.1;000182359;hw;;;;;
c15507/3.2;000182360;hw;;;;;
c15507/3.3;000182361;hw;;;;;
c15507/4;000625770;hw;;;;;
c15508;000625704;hw;;;;;
c15509;000277257;hw;;;;;
c15510/1;000625895;hw;;;;;
c15510/2;000625901;hw;;;;;
c15510/3;000625902;hw;;;;;
c15510/4;000625909;hw;;;;;
c15511/1;000625913;hw;;;;;
c15511/2;000625920;hw;;;;;
c15513/1;000305876;hw;;;;;
c15513/2.1;000303201;hw;;;;;
c15513/2.2;000303202;hw;;;;;
c15513/3.1;000317821;hw;;;;;
c15513/3.2;000317822;hw;;;;;
c15513/3.3;000317823;hw;;;;;
c15513/4;000303199;hw;;;;;
c15513/5;000302707;hw;;;;;
c15513/6;000302708;hw;;;;;
c15513/7;000303195;hw;;;;;
c15513/8;000302706;hw;;;;;
c15513/9.1;000368028;hw;;;;;
c15513/9.2;000305878;hw;;;;;
c15516/1;000626139;hw;;;;;
c15516/2.1;000626148;hw;;;;;
c15516/2.2;000626150;hw;;;;;
c15517.e.14.1.3;000693797;hw;;;;;
c15517e.12.2;000626278;hw;;;;;
c15517e.14.1.1;000626313;hw;;;;;
c15517e.14.1.2;000626317;hw;;;;;
c15517e.16.2;000626355;hw;;;;;
c15517e.16.3;000635613;hw;;;;;
c15517e.17.2;001670529;hw;;;;;
c15517e.19.3;000626438;hw;;;;;
c15517e.19.4;000920429;hw;;;;;
c15517e.3;000626191;hw;;;;;
c15517e.4;000300299;hw;;;;;
c15517e.r.1;000626219;hw;;;;;
c15517e:22a;004260265;h;;;;;
c15517e:22b;004260265;h;;;;;
c15517e:22c;004260265;h;;;;;
c15517e:22d;004260265;h;;;;;
c15517e:22e;004260265;h;;;;;
c15517e:23n;004260228;h;;;;;
c15518;004085987;h;;;;;
c15518;004085987;h;;;;;
c15518;004085993;h;;;;;
c15518:24;005096513;h;;;;;
c15518:8b;005096430;h;;;;;
c15518ex.a;004085987;h;;;;;
c15518:1;004276177;h;;;;;
c15518:10;004085998;h;;;;;
c15518:11;004276167;h;;;;;
c15518:12;004330175;h;;;;;
c15518:13;004645990;h;;;;;
c15518:14;004572608;h;em000006324055;;2318905350005510;2218905360005510;990045726080205510
c15518:15;004874564;h;;;;;
c15518:16;004646000;h;;;;;
c15518:17;004646007;h;;;;;
c15518:18;004932047;h;;;;;
c15518:19;004830342;h;;;;;
c15518:2;004451210;h;;;;;
c15518:22;004989343;h;;;;;
c15518:26;004892184;h;;;;;
c15518:27;004751403;h;;;;;
c15518:3;004614117;h;;;;;
c15518:4;004276161;h;;;;;
c15518:5;004472654;h;;;;;
c15518:6;004892176;h;;;;;
c15518:7;004801241;h;;;;;
c15518:9;004085969;h;;;;;
c15518:21;005023762;h;;;;;
c15518:34;005091024;h;;;;;
c15518:8a;005073118;h;;;;;
c15520/1;000379570;;04300003049195;6228931;2319239790005510;2219239820005510;990003795700205510
c15520/2;000379571;;;;;;
c15520/3;000379572;;04300003049197;6228963;2319282150005510;2219282160005510;990003795720205510
c15522;004019654;;;;;;
c15522;004019654;;;;;;
c15522;004019654;;;;;;
c15523;000691410;h;;;;;
c15523/1;000691410;;;;;;
c15523/2;000915550;;;;;;
c15523/3;000926371;;;;;;
c15523/4;000965179;;;;;;
c15523/5;001366449;;;;;;
c15523/6;001395733;;;;;;
c15523/7;001395736;;;;;;
c15524:ed.12/2cd;001908272;h;;;;;
c156.4e.05/1;000681699;hw;;;;;
c156.4e.05/2;000681700;hw;;;;;
c156.4e.06/1;000681703;hw;;;;;
c156.4e.06/3;000681705;hw;;;;;
c156.4e.6/2;000681704;hw;;;;;
c156.5.e.17/1;005012468;hw;;;;;
c15800;004334393;h;;;;;
c15800/01;000793913;h;;;;;
c15800/02;000793914;h;;;;;
c15800/03;000793915;h;;;;;
c15800/04;000793916;h;;;;;
c15800/05;000793917;h;;;;;
c15800/06;000793918;h;;;;;
c15800/07;000793919;h;;;;;
c15800/08;000793920;h;;;;;
c15800/09;000793921;h;;;;;
c15800/10;000793922;h;;;;;
c15800/11;000793923;h;;;;;
c15800/12;000793924;h;;;;;
c15800/13;000793925;h;;;;;
c15800/14;000793926;h;;;;;
c15800/15;000793927;h;;;;;
c15800/16;000793928;h;;;;;
c15800/17;000793929;h;;;;;
c15800/18;000793930;h;;;;;
c15800/19;000793931;h;;;;;
c15800/20;000793932;h;;;;;
c15800/21;000793933;h;;;;;
c15800/22;000793934;h;;;;;
c15800/23;000793935;h;;;;;
c15800/24;000793936;h;;;;;
c15800/25;000793937;h;;;;;
c15800/26;000430798;h;;;;;
c15800/27;000793938;h;;;;;
c15800/28;000793939;h;;;;;
c15800/29;000793940;h;;;;;
c15800/30;000793941;h;;;;;
c15800/31;000793942;h;;;;;
c15800/32;000793943;h;;;;;
c15800/33;000793944;h;;;;;
c15800/34;000793945;h;;;;;
c15800/35;000793946;h;;;;;
c15800/36;000793947;h;;;;;
c15800/37;000793948;h;;;;;
c15800/38;000793949;h;;;;;
c15800/39;000793950;h;;;;;
c15800/40;000793951;h;;;;;
c15800/41;000793952;h;;;;;
c15800/42;000793953;h;;;;;
c15800/43;000882669;h;;;;;
c15800/44;000915201;h;;;;;
c15800/45;000959156;h;;;;;
c15800/46;001391994;h;;;;;
c15800/47;001436506;h;;;;;
c15800/48;001589059;h;;;;;
c15800:50;001698548;h;;;;;
c15800:54;002077121;h;;;;;
c15800:56;000052076;h;;;;;
c15800:57;000052076;h;;;;;
c15800:58;000052076;h;;;;;
c15800:60;000052076;h;;;;;
c15800:61;000052076;h;;;;;
c15800:62;000052076;h;;;;;
c15800:63;000052076;h;;;;;
c15800:64;000052076;h;;;;;
c15800:65;000052076;h;;;;;
c15800:66;000052076;h;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801:10-19/ind;000793907;;;;;;
c15801:1-68/indrg;000588583;h;;;;;
c15801:20-29/ind;000793908;h;;;;;
c15801:30-39/ind;000793909;h;;;;;
c15801:40-49/ind;000793910;h;;;;;
c15801:50-59/ind;000964451;h;;;;;
c15801:60-64/ind;001423708;h;;;;;
