index;barcode;title;author;isbn;complete_edition;date_of_publication;keep
0;EM000007999060;Staatsrecht der Schweizerischen Eidgenossenschaft;Tschannen, Pierre;9783727286698;3. Aufl.;2011;
1;EM000006529240;Staatsrecht der Schweizerischen Eidgenossenschaft;Tschannen, Pierre;9783727208089;2., [aktual.] Aufl.;2007;
2;EM000006328584;Staatsrecht der Schweizerischen Eidgenossenschaft;Tschannen, Pierre;9783727208089;2., [aktual.] Aufl.;2007;
3;EM000005590525;Staatsrecht der schweizerischen Eidgenossenschaft;Tschannen, Pierre;372720835X;[2.Aufl.];2004;
4;EM000005847255;Staatsrecht der schweizerischen Eidgenossenschaft;Tschannen, Pierre;372720835X;[2.Aufl.];2004;
5;EM000005845757;Kommentar zum Zürcher Gemeindegesetz;Thalmann, Hans Rudolf;'isbn';2. Aufl.;1991;
6;EM000005774923;Grundzüge des Schweizerischen Verfassungsrechts;Rhinow, René A.;3719021270;;[2003];
7;EM000005848997;Der Grundsatz der geheimen Abstimmung unter besonderer Berücksichtigung des E-Voting;Borbély, Cornel;3727290196;1. Aufl.;2005;
8;EM000007202064;Staatsrecht;Biaggini, Giovanni;9783037513828;;2011;
9;EM000007056710;Staatsrecht der Schweiz;Jaag, Tobias;9783037513743;;2011;
10;EM000007202218;Einführung in das öffentliche Recht;Marantelli-Sonanini, Vera;3727215208;;2004-2005;
11;EM000005588313;Einführung in das öffentliche Recht;Marantelli-Sonanini, Vera;3727215208;;2004-2005;
12;EM000007202219;Einführung in das öffentliche Recht;Marantelli-Sonanini, Vera;3727215208;;2004-2005;
13;EM000006329785;Allgemeines Staatsrecht;Haller, Walter;9783719027568;4., neu überarb. und ergänzte Aufl.;2008;
14;EM000007057724;Allgemeines Staatsrecht;Haller, Walter;9783719027568;4., neu überarb. und ergänzte Aufl.;2008;
15;EM000005208045;Allgemeines Staatsrecht;Haller, Walter;3719023028;3., neu überarbeit. und ergänzte Aufl.;2004;
16;EM000006061466;Allgemeines Staatsrecht;Haller, Walter;3719023028;3., neu überarbeit. und ergänzte Aufl.;2004;
17;EM000005775628;Rechtsordnung eine Einführung in das schweizerische Recht mit Tafeln und Beispielen;Lendi, Martin;372812351X;[3., überarb. und aktualisierte Aufl.];2001;
18;EM000005846147;Rechtsordnung eine Einführung in das schweizerische Recht mit Tafeln und Beispielen;Lendi, Martin;372812351X;[3., überarb. und aktualisierte Aufl.];2001;
19;EM000006322425;Rechtsordnung eine Einführung in das schweizerische Recht mit Tafeln und Beispielen;Lendi, Martin;372812351X;[3., überarb. und aktualisierte Aufl.];2001;
20;EM000005846834;Rechtsordnung eine Einführung in das schweizerische Recht, mit Tafeln und Beispielen;Lendi, Martin;3728120162;[2., überarb. und aktualisierte Aufl.];1995;
21;EM000007057429;Chancen und Risiken rechtlicher Neuerungen;KPMG Schweiz;'isbn';;2001;
22;EM000006343943;Chancen und Risiken rechtlicher Neuerungen;KPMG Schweiz;'isbn';;2001;
23;EM000006218143;Chancen und Risiken rechtlicher Neuerungen;KPMG Schweiz;'isbn';;2001;
24;EM000007999439;Diskriminierungsrecht Handbuch für Jurist_innen, Berater_innen und Diversity-Expert_innen;Naguib, Tarek;9783727279805;;2014;x
25;EM000007997283;Öffentliches Recht ein Grundriss für Studium und Praxis;Mosimann, Hans-Jakob;9783725566242;2. Auflage;2012;
26;EM000006531289;Öffentliches Recht ein Grundriss für Studium und Praxis;Mosimann, Hans-Jakob;9783725559107;;2009;
27;EM000006331360;Öffentliches Recht ein Grundriss für Studium und Praxis;Mosimann, Hans-Jakob;9783725559107;;2009;
28;EM000006331361;Öffentliches Recht ein Grundriss für Studium und Praxis;Mosimann, Hans-Jakob;9783725559107;;2009;
29;EM000007056254;Öffentliches Recht ein Grundriss für Studium und Praxis;Mosimann, Hans-Jakob;9783725559107;;2009;
30;EM000008711415;Öffentliches Recht ein Grundriss für Studium und Praxis;Mosimann, Hans-Jakob;9783725576241;3. Auflage;2017;
31;EM000007202440;Öffentliches Recht ein Grundriss für Studium und Praxis;Mosimann, Hans-Jakob;9783725566242;2. Auflage;2012;
32;EM000007698704;Öffentliches Recht ein Grundriss für Studium und Praxis;Mosimann, Hans-Jakob;9783725566242;2. Auflage;2012;
33;EM000007997284;Öffentliches Recht ein Grundriss für Studium und Praxis;Mosimann, Hans-Jakob;9783725566242;2. Auflage;2012;
34;EM000008711224;Bundesgerichtliche Leitentscheide analysieren, einordnen und hinterfragen;Münch, Peter;9783725575022;2. Auflage;2017;
35;EM000008554268;Bundesgerichtliche Leitentscheide analysieren, einordnen und hinterfragen;Münch, Peter;9783725560783;;2010;
